"","Group_ID","NB_NAME_EN"
"1","1","Bayshore - Belltown"
"2","1","Beacon Hill South - Cardinal Heights"
"3","1","Beaverbrook"
"4","1","Bells Corners East"
"5","1","Bells Corners West"
"6","1","Billings Bridge - Alta Vista"
"7","1","Blackburn Hamlet"
"8","1","Borden Farm - Fisher Glen"
"9","1","Braemar Park - Bel Air Heights - Copeland Park"
"10","1","Briar Green - Leslie Park"
"11","1","Bridlewood - Emerald Meadows"
"12","1","Britannia Village"
"13","1","Brookside - Briarbrook - Morgan's Grant"
"14","1","Byward Market"
"15","1","Carleton Heights - Rideauview"
"16","1","Carlington"
"17","1","Carlingwood West - Glabar Park - McKellar Heights"
"18","1","Carp"
"19","1","Carson Grove - Carson Meadows"
"20","1","Centrepointe"
"21","1","Centretown"
"22","1","Chapel Hill North"
"23","1","Chapman Mills"
"24","1","Cityview - Crestview - Meadowlands"
"25","1","Civic Hospital-Central Park"
"26","1","Constance Bay"
"27","1","Convent Glen - Orléans Woods"
"28","1","Corkery"
"29","1","Crystal Bay - Lakeview Park"
"30","1","Dunrobin"
"31","1","East Industrial"
"32","1","Edwards - Carlsbad Springs"
"33","1","Elmvale - Canterbury"
"34","1","Emerald Woods - Sawmill Creek"
"35","1","Findlay Creek"
"36","1","Fitzroy"
"37","1","Glebe - Dows Lake"
"38","1","Glen Cairn - Kanata South Business Park"
"39","1","Greely"
"40","1","Greenbelt-Findlay"
"41","1","Greenbelt-Merivale"
"42","1","Greenboro West"
"43","1","Hawthorne Meadows - Sheffield Glen"
"44","1","Hintonburg - Mechanicsville"
"45","1","Hunt Club - Ottawa Airport"
"46","1","Hunt Club East - Western Community"
"47","1","Hunt Club South Industrial"
"48","1","Hunt Club Upper -Blossom Park - Timbermill"
"49","1","Hunt Club Woods - Quintarra - Revelstoke"
"50","1","Huntclub Park"
"51","1","Iris - Queensway Terrance South"
"52","1","Island Park - Wellington Village"
"53","1","Kanata Lakes - Arcardia"
"54","1","Katimavik - Hazeldean"
"55","1","Kinburn"
"56","1","Laurentian"
"57","1","Lebreton Development"
"58","1","Ledbury - Heron Gate - Ridgemont"
"59","1","Lowertown"
"60","1","Manor Park"
"61","1","Manotick East"
"62","1","Manotick West"
"63","1","Marlborough"
"64","1","Merivale Gardens - Grenfell Glen - Pineglen - Country Place"
"65","1","Munster - Ashton"
"66","1","North Gower - Kars"
"67","1","Old Barrhaven East"
"68","1","Old Barrhaven West"
"69","1","Old Ottawa East"
"70","1","Old Ottawa South"
"71","1","Orléans Industrial"
"72","1","Osgoode - Vernon"
"73","1","Overbrook - McArthur"
"74","1","Parkwood Hills - Stewart Farm"
"75","1","Pineview"
"76","1","Playfair Park - Lynda Park - Guildwood Estates"
"77","1","Qualicum - Redwood Park"
"78","1","Richmond"
"79","1","Rideau Crest - Davidson Heights"
"80","1","Riverside Park"
"81","1","Riverside South - Leitrim"
"82","1","Riverview"
"83","1","Rockcliffe Park"
"84","1","Rothwell Heights - Beacon Hill North"
"85","1","Sandy Hill"
"86","1","Skyline - Fisher Heights"
"87","1","South Keys - Greenboro West"
"88","1","Stittsville"
"89","1","Stonebridge - Halfmoon Bay - Heart's Desire"
"90","1","Tanglewood"
"91","1","Trend-Arlington"
"92","1","Vanier North"
"93","1","Wateridge Village"
"94","1","West Centertown"
"95","1","Westboro"
"96","1","Whitehaven - Queensway Terrace North"
"97","1","Woodvale - Craig Henry - Manordale - Estates of Arlington Woods"
"98","2",""
"99","2","Beechwood Cemetery"
"100","2","Cardinal Creek"
"101","2","Carleton University"
"102","2","Chapel Hill South"
"103","2","Chatelaine Village"
"104","2","Cumberland"
"105","2","Fallingbrook"
"106","2","Greenbelt-Dunrobin"
"107","2","Greenbelt-Edwards"
"108","2","Greenbelt - Shirleys Bay"
"109","2","Greenbelt - SouthEast"
"110","2","Lindenlea - New Edinburgh"
"111","2","Metcalfe"
"112","2","Navan - Sarsfield"
"113","2","Orléans Village - Chateauneuf"
"114","2","Portobello South"
"115","2","Queenswood Heights"
"116","2","Vars"
