"","NB_NAME_EN","YEAR","number_of_crimes"
"1","Crystal Bay - Lakeview Park","1973",1
"2","Lowertown","1979",1
"3","Ledbury - Heron Gate - Ridgemont","1980",1
"4","Convent Glen - Orléans Woods","1982",1
"5","Centretown","1984",1
"6","Stittsville","1986",1
"7","Bayshore - Belltown","1989",1
"8","Centretown","1989",1
"9","Woodvale - Craig Henry - Manordale - Estates of Arlington Woods","1991",1
"10","Centretown","1993",1
"11","Chapel Hill South","1994",1
"12","West Centertown","1994",1
"13","Stittsville","1996",1
"14","Beaverbrook","1998",1
"15","Centretown","1998",2
"16","Centretown","1999",1
"17","Centretown","2000",1
"18","Greenboro West","2000",1
"19","West Centertown","2001",1
"20","Braemar Park - Bel Air Heights - Copeland Park","2002",1
"21","East Industrial","2002",1
"22","Portobello South","2002",1
"23","Stonebridge - Halfmoon Bay - Heart's Desire","2002",1
"24","Corkery","2003",1
"25","Glebe - Dows Lake","2003",1
"26","Hawthorne Meadows - Sheffield Glen","2003",1
"27","Hunt Club East - Western Community","2003",1
"28","Overbrook - McArthur","2003",1
"29","West Centertown","2003",1
"30","Qualicum - Redwood Park","2004",1
"31","Rideau Crest - Davidson Heights","2004",1
"32","Cityview - Crestview - Meadowlands","2005",1
"33","Hunt Club East - Western Community","2005",1
"34","Manor Park","2005",1
"35","Overbrook - McArthur","2005",2
"36","Pineview","2005",1
"37","Playfair Park - Lynda Park - Guildwood Estates","2005",1
"38","Carleton Heights - Rideauview","2006",1
"39","Carlington","2006",1
"40","Overbrook - McArthur","2006",1
"41","West Centertown","2006",1
"42","Billings Bridge - Alta Vista","2007",1
"43","Bridlewood - Emerald Meadows","2007",1
"44","Centretown","2007",1
"45","East Industrial","2007",1
"46","Sandy Hill","2007",1
"47","Bayshore - Belltown","2008",1
"48","Billings Bridge - Alta Vista","2008",1
"49","Braemar Park - Bel Air Heights - Copeland Park","2008",1
"50","Cardinal Creek","2008",1
"51","Centretown","2008",1
"52","Chatelaine Village","2008",1
"53","East Industrial","2008",3
"54","Edwards - Carlsbad Springs","2008",1
"55","Emerald Woods - Sawmill Creek","2008",1
"56","Hunt Club Upper -Blossom Park - Timbermill","2008",1
