date,med_bachelor,med_1bed,med_2bed,med_3bed,vac_bachelor,vac_1bed,vac_2bed,vac_3bed
2001-10-01,625.0,769.0,900.0,1050.0,0.3,0.9,0.8,0.7
2002-10-01,619.0,767.0,900.0,1041.0,2.0,2.3,1.6,1.6
2003-10-01,630.0,750.0,899.0,1065.0,3.2,2.9,2.9,3.6
2004-10-01,625.0,750.0,895.0,1050.0,3.2,4.0,4.0,4.0
2005-10-01,625.0,740.0,875.0,1075.0,3.4,3.2,3.4,4.1
2006-10-01,635.0,750.0,881.0,1045.0,2.4,2.1,2.6,3.8
2007-10-01,647.0,769.0,907.0,1095.0,2.2,2.2,2.4,2.7
2008-10-01,675.0,800.0,945.0,1119.0,1.4,1.3,1.6,2.0
2009-10-01,695.0,825.0,970.0,1188.0,1.3,1.5,1.7,2.4
2010-10-01,715.0,850.0,999.0,1195.0,0.9,1.6,1.7,2.9
2011-10-01,729.0,869.0,1034.0,1225.0,1.3,1.3,1.6,2.4
2012-10-01,750.0,895.0,1070.0,1269.0,2.1,2.6,2.6,4.0
2013-10-01,775.0,900.0,1095.0,1299.0,1.9,3.0,3.0,3.9
2014-10-01,787.0,900.0,1095.0,1299.0,1.8,2.3,2.9,4.8
2015-10-01,813.0,950.0,1133.0,1300.0,2.3,3.0,3.8,5.0
2016-10-01,825.0,959.0,1175.0,1305.0,2.4,2.8,2.9,5.0
2017-10-01,849.0,978.0,1179.0,1391.0,1.6,1.4,2.1,1.8
2018-10-01,880.0,1040.0,1235.0,1429.0,1.3,1.5,1.9,1.3
2019-10-01,917.0,1109.0,1308.0,1524.0,2.2,1.7,1.9,1.6
2020-10-01,1020.0,1199.0,1399.0,1599.0,3.1,3.9,3.7,4.1
2021-10-01,1049.0,1238.0,1450.0,1650.0,3.1,3.5,3.4,4.3
2022-10-01,1100.0,1290.0,1523.0,1695.0,1.6,2.0,2.6,2.1
