Date,Count_,TotalLengthOfStay,Category,ObjectId
2014-04-01 00:00:00+00:00,716,17276,Family Household Members,3
2014-04-01 00:00:00+00:00,974,17613,Single Adult Males,10
2014-04-01 00:00:00+00:00,294,5031,Single Adult Females,11
2014-04-01 00:00:00+00:00,114,2139,Single Youth 18 Under,12
2014-08-01 00:00:00+00:00,905,21825,Family Household Members,17
2014-08-01 00:00:00+00:00,1051,18363,Single Adult Males,24
2014-08-01 00:00:00+00:00,276,5131,Single Adult Females,25
2014-08-01 00:00:00+00:00,83,1931,Single Youth 18 Under,26
2014-12-01 00:00:00+00:00,934,24106,Family Household Members,31
2014-12-01 00:00:00+00:00,943,17905,Single Adult Males,38
2014-12-01 00:00:00+00:00,292,5299,Single Adult Females,39
2014-12-01 00:00:00+00:00,92,1706,Single Youth 18 Under,40
2014-02-01 00:00:00+00:00,798,18139,Family Household Members,45
2015-12-01 00:00:00+00:00,936,16979,Single Adult Males,56
2015-12-01 00:00:00+00:00,297,5323,Single Adult Females,57
2015-12-01 00:00:00+00:00,95,1436,Single Youth 18 Under,58
2015-02-01 00:00:00+00:00,863,19419,Family Household Members,63
2015-02-01 00:00:00+00:00,941,16306,Single Adult Males,70
2015-02-01 00:00:00+00:00,280,4990,Single Adult Females,71
2015-02-01 00:00:00+00:00,66,1097,Single Youth 18 Under,72
2015-01-01 00:00:00+00:00,924,23056,Family Household Members,77
2015-01-01 00:00:00+00:00,948,18473,Single Adult Males,84
2015-01-01 00:00:00+00:00,279,5718,Single Adult Females,85
2015-01-01 00:00:00+00:00,68,1202,Single Youth 18 Under,86
2015-07-01 00:00:00+00:00,904,20794,Family Household Members,91
2015-07-01 00:00:00+00:00,955,17187,Single Adult Males,98
2015-07-01 00:00:00+00:00,300,5180,Single Adult Females,99
2015-07-01 00:00:00+00:00,87,1382,Single Youth 18 Under,100
2014-10-01 00:00:00+00:00,285,5299,Single Adult Females,101
2014-10-01 00:00:00+00:00,90,1599,Single Youth 18 Under,102
2014-09-01 00:00:00+00:00,953,23388,Family Household Members,107
2014-09-01 00:00:00+00:00,992,17652,Single Adult Males,114
2014-09-01 00:00:00+00:00,271,5229,Single Adult Females,115
2014-09-01 00:00:00+00:00,94,1849,Single Youth 18 Under,116
2015-04-01 00:00:00+00:00,744,18385,Family Household Members,121
2015-04-01 00:00:00+00:00,939,16868,Single Adult Males,128
2015-04-01 00:00:00+00:00,295,5213,Single Adult Females,129
2015-04-01 00:00:00+00:00,69,1263,Single Youth 18 Under,130
2015-08-01 00:00:00+00:00,960,21969,Family Household Members,135
2015-08-01 00:00:00+00:00,984,17388,Single Adult Males,142
2015-08-01 00:00:00+00:00,279,5397,Single Adult Females,143
2015-08-01 00:00:00+00:00,72,1342,Single Youth 18 Under,144
2015-12-01 00:00:00+00:00,878,21745,Family Household Members,149
2014-03-01 00:00:00+00:00,726,18259,Family Household Members,151
2014-03-01 00:00:00+00:00,923,17915,Single Adult Males,158
2014-03-01 00:00:00+00:00,281,5299,Single Adult Females,159
2014-03-01 00:00:00+00:00,98,2119,Single Youth 18 Under,160
2014-05-01 00:00:00+00:00,740,18735,Family Household Members,165
2014-05-01 00:00:00+00:00,1044,18416,Single Adult Males,172
2014-05-01 00:00:00+00:00,297,5220,Single Adult Females,173
2014-05-01 00:00:00+00:00,108,2104,Single Youth 18 Under,174
2014-11-01 00:00:00+00:00,992,24330,Family Household Members,179
2014-11-01 00:00:00+00:00,989,18252,Single Adult Males,186
2014-11-01 00:00:00+00:00,271,5261,Single Adult Females,187
2014-11-01 00:00:00+00:00,95,1712,Single Youth 18 Under,188
2014-10-01 00:00:00+00:00,960,24808,Family Household Members,193
2014-10-01 00:00:00+00:00,1034,18788,Single Adult Males,200
2014-02-01 00:00:00+00:00,905,15881,Single Adult Males,202
