,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2001 October,0.3,a ,0.9,a ,0.8,a ,0.7,a ,0.8,a ,
2002 October,2.0,a ,2.3,a ,1.6,a ,1.6,a ,1.9,a ,
2003 October,3.2,b ,2.9,a ,2.9,a ,3.6,a ,3.0,a ,
2004 October,3.2,a ,4.0,a ,4.0,a ,4.0,a ,3.9,a ,
2005 October,3.4,a ,3.2,a ,3.4,a ,4.1,a ,3.4,a ,
2006 October,2.4,a ,2.1,a ,2.6,a ,3.8,a ,2.5,a ,
2007 October,2.2,a ,2.2,a ,2.4,a ,2.7,a ,2.3,a ,
2008 October,1.4,a ,1.3,a ,1.6,a ,2.0,a ,1.5,a ,
2009 October,1.3,a ,1.5,a ,1.7,a ,2.4,a ,1.7,a ,
2010 October,0.9,a ,1.6,a ,1.7,a ,2.9,a ,1.7,a ,
2011 October,1.3,a ,1.3,a ,1.6,a ,2.4,a ,1.5,a ,
2012 October,2.1,a ,2.6,a ,2.6,a ,4.0,a ,2.7,a ,
2013 October,1.9,a ,3.0,a ,3.0,a ,3.9,a ,3.0,a ,
2014 October,1.8,a ,2.3,a ,2.9,a ,4.8,a ,2.8,a ,
2015 October,2.3,a ,3.0,a ,3.8,a ,5.0,a ,3.5,a ,
2016 October,2.4,a ,2.8,a ,2.9,a ,5.0,c ,3.1,a ,
2017 October,1.6,a ,1.4,a ,2.1,a ,1.8,a ,1.7,a ,
2018 October,1.3,a ,1.5,a ,1.9,a ,1.3,a ,1.6,a ,
2019 October,2.2,a ,1.7,a ,1.9,a ,1.6,a ,1.8,a ,
2020 October,3.1,b ,3.9,a ,3.7,b ,4.1,d ,3.8,b ,
2021 October,3.1,c ,3.5,b ,3.4,c ,4.3,c ,3.5,b ,
2022 October,1.6,b ,2.0,a ,2.6,a ,2.1,c ,2.2,a ,
