FID,namese2016,namesf2016,popest2016,Shape_Leng,SHAPE_Length,SHAPE_Area
1,Old Barrhaven West,Old Barrhaven West,16880.4871431,11076.7919417,15742.8574312889,5093790.6626
2,Beacon Hill South - Cardinal Heights,Beacon Hill South - Cardinal Heights,7194.87688538,7266.55219978,10356.287663611,2229948.33143
3,Beaverbrook,Beaverbrook,6715.25408328,7096.5062823,10094.775621615,2839166.85032
4,Bells Corners East,Bells Corners East,4728.59507087,7784.61189757,11070.0203979107,3353199.86609
5,Bells Corners West,Bells Corners West,4158.18568156,5209.77307012,7411.61300788257,1375867.77303
6,Billings Bridge - Alta Vista,Billings Bridge - Alta Vista,12652.8045264,11625.9627277,16553.1841208457,6372676.54228
7,Hunt Club Upper -Blossom Park - Timbermill,Hunt Club Upper -Blossom Park - Timbermill,8614.00998071,10635.2523971,11961.6833848604,4362924.28655
8,Borden Farm - Fisher Glen,Borden Farm - Fisher Glen,6960.2967785,9129.86973031,12991.703846662,2581215.78047
9,Braemar Park - Bel Air Heights - Copeland Park,Braemar Park - Bel Air Heights - Copeland Park,6727.34506188,7087.39291933,10088.1630019049,2352368.46448
10,Briar Green - Leslie Park,Briar Green - Leslie Park,5315.06319641,8156.69955317,11595.1610313729,1905757.14241
11,Centretown,Centretown,24993.9575587,8540.75985563,12165.9936592085,3627990.0123
12,Carleton Heights - Rideauview,Carleton Heights - Rideauview,6852.20622197,8145.0747255,11597.0783574024,2445559.91697
13,Carlington,Carlington,10098.9868998,7506.35353428,10685.1853638125,2710658.73173
14,Laurentian,Laurentian,9654.43025605,10174.3494073,14487.5563409976,3921707.36994
15,Carlingwood West - Glabar Park - McKellar Heights,Carlingwood West - Glabar Park - McKellar Heights,8772.50877508,13290.1670155,18923.0911603256,3961644.01314
16,Carson Grove - Carson Meadows,Carson Grove - Carson Meadows,10694.4549744,8813.66708637,12562.4116667723,4456497.58865
17,Centrepointe,Centrepointe,7269.69135539,6108.91165254,8690.87856291379,2120107.78225
18,Chapel Hill North,Chapel Hill North,10798.1563977,8059.92312243,11493.1965931843,3784723.74525
19,Skyline - Fisher Heights,Skyline - Fisher Heights,4372.88502619,6916.65726718,9844.05507169744,1932529.69888
20,Civic Hospital-Central Park,Civic Hospital-Central Park,10979.676681,17677.8135026,25168.8029432145,7548447.34093
21,Cityview - Crestview - Meadowlands,Cityview - Crestview - Meadowlands,8544.89226614,8454.7667795,12031.4146626419,3955257.29644
22,Emerald Woods - Sawmill Creek,Emerald Woods - Sawmill Creek,5308.88896787,5862.53573632,8345.70461784336,1816614.44327
23,Glebe - Dows Lake,Glebe - Dows Lake,12192.5029643,7598.08666308,10819.913775373,3036593.32263
24,Greenboro West,Greenboro West,10721.7491357,7576.99085012,10783.8104913603,2178495.41185
25,Hawthorne Meadows - Sheffield Glen,Hawthorne Meadows - Sheffield Glen,6673.64752314,4617.84812575,6576.19708089937,1157737.16455
26,Hintonburg - Mechanicsville,Hintonburg - Mechanicsville,9367.65620925,7060.66050622,10058.768173701,2163549.98607
27,Hunt Club - Ottawa Airport,Hunt Club - Ottawa Airport,2458.98254354,18320.5449374,26070.378867053,15297027.927
28,Hunt Club East - Western Community,Hunt Club East - Western Community,10783.5081523,8344.79970178,11872.0540344475,3430343.58548
29,Iris - Queensway Terrance South,Iris - Queensway Terrance South,5823.93634894,6518.76964245,9276.30570830285,2154577.43436
30,Island Park - Wellington Village,Island Park - Wellington Village,5338.56396901,8706.00709054,12402.7629920922,3559380.10591
31,Katimavik - Hazeldean,Katimavik - Hazeldean,11799.8135804,10064.3131795,14308.0186827628,5524807.63392
32,Ledbury - Heron Gate - Ridgemont,Ledbury - Heron Gate - Ridgemont,13902.7427565,6788.60219786,9662.38821598453,2679744.72533
33,Lindenlea - New Edinburgh,Lindenlea - New Edinburgh,4779.24725405,7488.60272382,10673.5483749609,2495679.09896
34,Lowertown,Lowertown,5916.96235152,4624.65772969,6588.23164151562,937004.355013
35,Orléans Village - Chateauneuf,Orléans Village - Chateauneuf,10651.3973548,7484.79847123,10674.3177558127,3272506.79805
36,South Keys - Greenboro West,South Keys - Greenboro West,4220.67226769,11977.4803418,17050.8240975874,3173568.84212
37,Tanglewood,Tanglewood,4927.78728502,7209.1981823,10253.9279071227,2194095.1776
38,Crystal Bay - Lakeview Park,Crystal Bay - Lakeview Park,3814.54171562,18628.4003201,26514.3441262902,16220561.3245
39,East Industrial,East Industrial,2084.344652,30263.5347401,43094.6708254823,13161416.0487
40,Playfair Park - Lynda Park - Guildwood Estates,Playfair Park - Lynda Park - Guildwood Estates,5945.08958808,7329.22113083,10436.9130921095,2068005.96847
41,Qualicum - Redwood Park,Qualicum - Redwood Park,4176.01059565,5960.30603991,8479.07861705814,1837394.84797
42,Queenswood Heights,Queenswood Heights,12827.8804152,9571.58989486,13652.5310000452,4398868.29242
43,Riverside Park,Riverside Park,4371.15182985,8024.46083519,11421.4695934621,3467824.21955
44,Sandy Hill,Sandy Hill,11365.488441,7024.76569594,10005.4273361828,2314751.50636
45,Trend-Arlington,Trend-Arlington,4737.68209525,6643.16940031,9451.38126102854,1737098.40189
