OBJECTID,REP_DATE,DOW,YEAR,NARCAN_ADM
2880,2017/08/31 04:00:00+00,Thursday,2017,N/A
2881,2021/08/30 04:00:00+00,Monday,2021,N/A
2882,2019/07/26 04:00:00+00,Friday,2019,N/A
2883,2017/09/19 04:00:00+00,Tuesday,2017,N/A
2884,2021/09/13 04:00:00+00,Monday,2021,Yes
2885,2019/07/22 04:00:00+00,Monday,2019,N/A
2886,2022/07/23 04:00:00+00,Sunday,2022,N/A
2887,2020/10/15 04:00:00+00,Thursday,2020,Yes
2888,2018/07/27 04:00:00+00,Friday,2018,N/A
2889,2020/06/02 04:00:00+00,Tuesday,2020,N/A
2890,2020/03/13 04:00:00+00,Friday,2020,N/A
2891,2021/02/11 05:00:00+00,Thursday,2021,Yes
2892,2022/12/31 05:00:00+00,Saturday,2022,N/A
2893,2022/06/18 04:00:00+00,Thursday,2022,N/A
2894,2020/08/22 04:00:00+00,Saturday,2020,N/A
2895,2021/07/24 04:00:00+00,Saturday,2021,N/A
2896,2018/01/07 05:00:00+00,Sunday,2018,N/A
2897,2018/04/21 04:00:00+00,Saturday,2018,N/A
2898,2017/08/07 04:00:00+00,Monday,2017,N/A
2899,2021/01/01 05:00:00+00,Friday,2020,No
2900,2021/01/22 05:00:00+00,Friday,2021,Yes
2901,2021/04/12 04:00:00+00,Monday,2021,Unknown
2902,2022/02/02 05:00:00+00,Wednesday,2022,Yes
2903,2022/09/05 04:00:00+00,Tuesday,2022,N/A
2904,2022/09/14 04:00:00+00,Thursday,2022,Yes
2905,2020/11/07 05:00:00+00,Saturday,2020,No
2906,2018/05/17 04:00:00+00,Thursday,2018,N/A
2907,2019/05/03 04:00:00+00,Friday,2019,N/A
2908,2022/03/19 04:00:00+00,Friday,2022,N/A
2909,2020/06/20 04:00:00+00,Saturday,2020,N/A
2910,2019/09/22 04:00:00+00,Sunday,2019,N/A
2911,2021/10/19 04:00:00+00,Tuesday,2021,Yes
2912,2018/07/14 04:00:00+00,Saturday,2018,N/A
2913,2022/07/27 04:00:00+00,Sunday,2022,Yes
2914,2020/04/26 04:00:00+00,Sunday,2020,N/A
2915,2022/07/26 04:00:00+00,Thursday,2022,Yes
2916,2017/12/05 05:00:00+00,Tuesday,2017,N/A
2917,2021/03/26 04:00:00+00,Friday,2021,No
2918,2021/08/06 04:00:00+00,Friday,2021,N/A
2919,2018/01/20 05:00:00+00,Saturday,2018,N/A
2920,2017/07/03 04:00:00+00,Monday,2017,N/A
2921,2017/09/01 04:00:00+00,Friday,2017,N/A
2922,2020/06/07 04:00:00+00,Sunday,2020,N/A
2923,2021/03/24 04:00:00+00,Wednesday,2021,Unknown
2924,2021/03/13 05:00:00+00,Saturday,2021,Yes
2925,2021/02/03 05:00:00+00,Wednesday,2021,Yes
2926,2022/07/11 04:00:00+00,Wednesday,2022,N/A
2927,2021/03/18 04:00:00+00,Thursday,2021,Yes
2928,2022/01/05 05:00:00+00,Tuesday,2022,Yes
2929,2022/02/23 05:00:00+00,Tuesday,2022,Yes
2930,2021/02/28 05:00:00+00,Sunday,2021,Yes
2931,2022/01/27 05:00:00+00,Friday,2022,N/A
2932,2022/05/08 04:00:00+00,Tuesday,2022,Yes
2933,2020/12/07 05:00:00+00,Monday,2020,Unknown
2934,2022/07/02 04:00:00+00,Wednesday,2022,N/A
2935,2020/11/03 05:00:00+00,Tuesday,2020,Yes
2936,2022/07/11 04:00:00+00,Tuesday,2022,Yes
2937,2020/10/23 04:00:00+00,Friday,2020,Unknown
2938,2022/08/14 04:00:00+00,Friday,2022,Yes
2939,2021/02/05 05:00:00+00,Friday,2021,Yes
2940,2022/10/24 04:00:00+00,Sunday,2022,Yes
2941,2021/12/28 05:00:00+00,Tuesday,2021,N/A
2942,2022/10/26 04:00:00+00,Wednesday,2022,Yes
2943,2020/08/09 04:00:00+00,Sunday,2020,N/A
2944,2022/11/11 05:00:00+00,Tuesday,2022,Yes
2945,2020/12/11 05:00:00+00,Friday,2020,No
2946,2017/09/09 04:00:00+00,Saturday,2017,N/A
2947,2021/01/01 05:00:00+00,Friday,2020,Yes
2948,2021/06/03 04:00:00+00,Thursday,2021,Yes
2949,2021/02/07 05:00:00+00,Sunday,2021,Yes
2950,2021/09/30 04:00:00+00,Thursday,2021,Yes
2951,2021/02/11 05:00:00+00,Thursday,2021,Yes
2952,2022/06/19 04:00:00+00,Friday,2022,N/A
2953,2021/06/02 04:00:00+00,Wednesday,2021,No
2954,2022/07/28 04:00:00+00,Wednesday,2022,Yes
2955,2022/09/26 04:00:00+00,Tuesday,2022,Yes
2956,2022/09/19 04:00:00+00,Saturday,2022,N/A
2957,2022/12/17 05:00:00+00,Saturday,2022,N/A
2958,2022/10/09 04:00:00+00,Tuesday,2022,Yes
2959,2019/04/09 04:00:00+00,Tuesday,2019,N/A
2960,2022/09/03 04:00:00+00,Wednesday,2022,Yes
2961,2020/01/09 05:00:00+00,Thursday,2020,N/A
2962,2019/01/31 05:00:00+00,Thursday,2019,N/A
2963,2020/08/01 04:00:00+00,Saturday,2020,N/A
2964,2019/06/29 04:00:00+00,Saturday,2019,N/A
2965,2020/02/11 05:00:00+00,Tuesday,2020,N/A
2966,2019/12/01 05:00:00+00,Sunday,2019,N/A
2967,2021/11/25 05:00:00+00,Thursday,2021,N/A
2968,2019/06/12 04:00:00+00,Wednesday,2019,N/A
2969,2021/12/28 05:00:00+00,Tuesday,2021,Yes
2970,2022/07/23 04:00:00+00,Saturday,2022,Yes
2971,2020/03/03 05:00:00+00,Tuesday,2020,N/A
2972,2020/08/13 04:00:00+00,Thursday,2020,N/A
2973,2020/12/15 05:00:00+00,Tuesday,2020,No
2974,2022/06/30 04:00:00+00,Saturday,2022,Yes
2975,2021/08/01 04:00:00+00,Sunday,2021,Yes
2976,2018/07/04 04:00:00+00,Wednesday,2018,N/A
2977,2021/08/03 04:00:00+00,Tuesday,2021,N/A
2978,2021/11/27 05:00:00+00,Saturday,2021,N/A
2979,2021/05/01 04:00:00+00,Saturday,2021,No
2980,2017/08/03 04:00:00+00,Thursday,2017,N/A
2981,2022/01/08 05:00:00+00,Saturday,2022,Yes
2982,2017/10/07 04:00:00+00,Saturday,2017,N/A
2983,2020/11/05 05:00:00+00,Thursday,2020,Yes
2984,2017/10/03 04:00:00+00,Tuesday,2017,N/A
2985,2018/11/30 05:00:00+00,Friday,2018,N/A
2986,2022/06/21 04:00:00+00,Monday,2022,Yes
2987,2018/09/06 04:00:00+00,Thursday,2018,N/A
2988,2020/10/31 04:00:00+00,Saturday,2020,Yes
2989,2022/04/19 04:00:00+00,Friday,2022,N/A
2990,2022/05/13 04:00:00+00,Sunday,2022,Yes
2991,2022/08/14 04:00:00+00,Monday,2022,Yes
2992,2020/08/16 04:00:00+00,Sunday,2020,N/A
2993,2021/05/06 04:00:00+00,Thursday,2021,No
2994,2022/11/03 04:00:00+00,Saturday,2022,Yes
2995,2022/12/04 05:00:00+00,Saturday,2022,Yes
2996,2020/04/17 04:00:00+00,Friday,2020,N/A
2997,2018/02/14 05:00:00+00,Wednesday,2018,N/A
2998,2017/08/09 04:00:00+00,Wednesday,2017,N/A
2999,2019/07/06 04:00:00+00,Saturday,2019,N/A
3000,2020/04/04 04:00:00+00,Saturday,2020,N/A
3001,2018/10/28 04:00:00+00,Sunday,2018,N/A
3002,2017/06/14 04:00:00+00,Wednesday,2017,N/A
3003,2017/07/02 04:00:00+00,Sunday,2017,N/A
3004,2019/05/09 04:00:00+00,Thursday,2019,N/A
3005,2018/11/11 05:00:00+00,Sunday,2018,N/A
3006,2022/10/15 04:00:00+00,Monday,2022,N/A
3007,2020/08/01 04:00:00+00,Saturday,2020,N/A
3008,2021/11/28 05:00:00+00,Sunday,2021,N/A
3009,2018/03/21 04:00:00+00,Wednesday,2018,N/A
3010,2020/08/15 04:00:00+00,Saturday,2020,N/A
3011,2017/04/05 04:00:00+00,Wednesday,2017,N/A
3012,2021/12/14 05:00:00+00,Tuesday,2021,Yes
3013,2018/11/02 04:00:00+00,Friday,2018,N/A
3014,2019/03/26 04:00:00+00,Tuesday,2019,N/A
3015,2019/03/25 04:00:00+00,Monday,2019,N/A
3016,2019/03/25 04:00:00+00,Monday,2019,N/A
3017,2021/04/10 04:00:00+00,Saturday,2021,Unknown
3018,2020/09/08 04:00:00+00,Tuesday,2020,N/A
3019,2019/03/31 04:00:00+00,Sunday,2019,N/A
3020,2020/12/01 05:00:00+00,Tuesday,2020,Yes
3021,2020/07/15 04:00:00+00,Wednesday,2020,N/A
3022,2022/07/03 04:00:00+00,Wednesday,2022,N/A
3023,2021/09/17 04:00:00+00,Friday,2021,N/A
3024,2022/10/19 04:00:00+00,Wednesday,2022,Yes
3025,2022/12/04 05:00:00+00,Saturday,2022,Yes
3026,2018/10/05 04:00:00+00,Friday,2018,N/A
3027,2019/05/31 04:00:00+00,Friday,2019,N/A
3028,2021/06/18 04:00:00+00,Friday,2021,Unknown
3029,2020/10/07 04:00:00+00,Wednesday,2020,No
3030,2018/05/20 04:00:00+00,Sunday,2018,N/A
3031,2017/03/25 04:00:00+00,Saturday,2017,N/A
3032,2018/08/29 04:00:00+00,Wednesday,2018,N/A
3033,2020/08/08 04:00:00+00,Saturday,2020,N/A
3034,2019/05/02 04:00:00+00,Thursday,2019,N/A
3035,2022/05/20 04:00:00+00,Wednesday,2022,N/A
3036,2017/06/06 04:00:00+00,Tuesday,2017,N/A
3037,2020/09/01 04:00:00+00,Tuesday,2020,N/A
3038,2022/09/30 04:00:00+00,Saturday,2022,No
3039,2020/09/04 04:00:00+00,Friday,2020,N/A
3040,2017/03/27 04:00:00+00,Monday,2017,N/A
3041,2019/03/14 04:00:00+00,Thursday,2019,N/A
3042,2022/05/07 04:00:00+00,Tuesday,2022,N/A
3043,2022/01/10 05:00:00+00,Tuesday,2022,Yes
3044,2020/12/12 05:00:00+00,Saturday,2020,No
3045,2020/10/07 04:00:00+00,Wednesday,2020,Yes
3046,2021/06/29 04:00:00+00,Tuesday,2021,Yes
3047,2021/04/17 04:00:00+00,Saturday,2021,Yes
3048,2020/08/20 04:00:00+00,Thursday,2020,N/A
3049,2022/08/20 04:00:00+00,Friday,2022,Yes
3050,2022/03/23 04:00:00+00,Friday,2022,N/A
3051,2022/03/14 04:00:00+00,Friday,2022,Yes
3052,2019/02/16 05:00:00+00,Saturday,2019,N/A
3053,2019/04/27 04:00:00+00,Saturday,2019,N/A
3054,2019/08/03 04:00:00+00,Saturday,2019,N/A
3055,2019/08/16 04:00:00+00,Friday,2019,N/A
3056,2020/12/20 05:00:00+00,Sunday,2020,Yes
3057,2017/04/02 04:00:00+00,Sunday,2017,N/A
3058,2019/06/20 04:00:00+00,Thursday,2019,N/A
3059,2022/02/01 05:00:00+00,Tuesday,2022,Yes
3060,2017/10/17 04:00:00+00,Tuesday,2017,N/A
3061,2020/08/13 04:00:00+00,Thursday,2020,N/A
3062,2022/02/07 05:00:00+00,Thursday,2022,N/A
3063,2022/11/03 04:00:00+00,Thursday,2022,Yes
3064,2022/07/06 04:00:00+00,Thursday,2022,N/A
3065,2022/03/31 04:00:00+00,Thursday,2022,Yes
3066,2022/05/05 04:00:00+00,Friday,2022,Yes
3067,2022/07/28 04:00:00+00,Tuesday,2022,N/A
3068,2022/11/13 05:00:00+00,Thursday,2022,Yes
3069,2021/04/16 04:00:00+00,Friday,2021,Yes
3070,2021/06/30 04:00:00+00,Wednesday,2021,Yes
3071,2020/02/21 05:00:00+00,Friday,2020,N/A
3072,2021/11/24 05:00:00+00,Wednesday,2021,N/A
3073,2022/06/30 04:00:00+00,Saturday,2022,Yes
3074,2019/08/18 04:00:00+00,Sunday,2019,N/A
3075,2019/08/24 04:00:00+00,Saturday,2019,N/A
3076,2020/04/05 04:00:00+00,Sunday,2020,N/A
3077,2022/12/28 05:00:00+00,Wednesday,2022,N/A
3078,2019/12/09 05:00:00+00,Monday,2019,N/A
3079,2021/12/07 05:00:00+00,Tuesday,2021,N/A
3080,2022/08/06 04:00:00+00,Wednesday,2022,N/A
3081,2018/02/25 05:00:00+00,Sunday,2018,N/A
3082,2020/02/13 05:00:00+00,Thursday,2020,N/A
3083,2021/12/21 05:00:00+00,Tuesday,2021,Yes
3084,2019/05/17 04:00:00+00,Friday,2019,N/A
3085,2021/11/02 04:00:00+00,Tuesday,2021,Yes
3086,2021/04/09 04:00:00+00,Friday,2021,Unknown
3087,2020/03/26 04:00:00+00,Thursday,2020,N/A
3088,2022/09/11 04:00:00+00,Tuesday,2022,Yes
3089,2018/09/06 04:00:00+00,Thursday,2018,N/A
3090,2022/06/15 04:00:00+00,Sunday,2022,N/A
3091,2021/04/06 04:00:00+00,Tuesday,2021,Unknown
3092,2022/08/25 04:00:00+00,Wednesday,2022,N/A
3093,2022/04/22 04:00:00+00,Saturday,2022,N/A
3094,2022/07/12 04:00:00+00,Thursday,2022,N/A
3095,2022/03/24 04:00:00+00,Saturday,2022,Yes
3096,2021/10/23 04:00:00+00,Saturday,2021,N/A
3097,2020/08/28 04:00:00+00,Friday,2020,N/A
3098,2021/01/19 05:00:00+00,Tuesday,2021,Yes
3099,2021/01/19 05:00:00+00,Tuesday,2021,Yes
3100,2020/09/01 04:00:00+00,Tuesday,2020,N/A
3101,2017/07/07 04:00:00+00,Friday,2017,N/A
3102,2021/06/25 04:00:00+00,Friday,2021,Yes
3103,2021/04/28 04:00:00+00,Wednesday,2021,Yes
3104,2021/01/16 05:00:00+00,Saturday,2021,Yes
3105,2021/06/17 04:00:00+00,Thursday,2021,Yes
3106,2021/08/19 04:00:00+00,Thursday,2021,Yes
3107,2020/08/08 04:00:00+00,Saturday,2020,N/A
3108,2021/06/10 04:00:00+00,Thursday,2021,No
3109,2022/05/13 04:00:00+00,Thursday,2022,Yes
3110,2022/06/30 04:00:00+00,Tuesday,2022,N/A
3111,2022/07/04 04:00:00+00,Thursday,2022,Yes
3112,2021/07/29 04:00:00+00,Thursday,2021,Yes
