SID,name,lat,long
1,Cornerstone (Housing for Women),45.408474,-75.710235
2,Ottawa Mission,45.426441,-75.687798
3,Ottawa - City Operations (Dempsey Community Centre),45.403521,-75.629967
4,Ottawa - City Operations (Mary Pitt Centre),45.347217,-75.764002
5,Salvation Army,45.428822,-75.689034
6,Shepherds of Good Hope,45.431450,-75.688790
7,Tungasuvvingat Inuit,45.37343215942383,-75.77889251708984
8,Tungasuvvingat Inuit,45.41474533081055,-75.70820617675781
9,Tungassuvingat Inuit,45.434104919433594,-75.66399383544922
10,YMCA,45.411368,-75.689138
11,Youth Services Bureau,45.426909,-75.688967
12,Youth Services Bureau,45.353051,-75.7876244
